V1,Source,Q118_4,Q118_5,Q118_6,Q118_7,Q118_8,Q118_9,Q118_10,Q118_11,Q118_12,Q118_13,Q118_14,Q118_15,Q118_16,Q118_17,Q118_18,Q118_19,Q118_20,Q118_21,YEAR
R_2sFULt7OCVqXgEJ,0,4,3,4,3,3,4,2,2,3,1,3,2,2,3,2,2,2,1,2015
R_ePur9GxSXJkDaJf,0,4,3,3,2,2,3,1,2,3,2,4,1,3,3,2,3,4,2,2015
R_7NGOBRUtVRA5x6l,0,4,2,2,2,3,3,2,3,3,2,4,2,2,2,3,2,3,2,2015
R_cMcMaxw0VIHD9Nb,0, , , , , , , , , , , , , , , , , , ,2015
R_3aa88xQj3yRQwW9,0,3,3,4,1,1,2,1,4,3,1,4,2,1,4,4,3,2,1,2015
R_e3w9iAQHGUta4fj,0,3,3,3,1,2,2,2,1,2,4,3,2,4,1,4,2,2,1,2015
R_do4B3sjpXBzR5VX,0,3,2,2,2,3,3,2,2, ,2,4,2,2,1,2,1,3,3,2015
R_a8VOZfJTgv1Hvmt,0,4,2,3,1,3,3,4,4,3,1,3,1,2,1,2,2,2,3,2015
R_bxEiGvUMM0FREYR,0,3,2,2,1,1,3,2,3,3,1,3,1,2,1,2,3,2,3,2015
R_2fJmCaGhcrYnVLr,0,3,3,2,2,2,2,2,2,3,3,3,2,4,1,4,2,1,3,2015
R_sIgVXy3uDgjdDgZ,0,3,3,2,2,1,3,2,3,3,2,3,1,3,1,4,3,3,2,2015
R_wRiAWTr6B5hl4tz,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2015
R_24P1PwJep5HewZW,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2015
R_2Ugd3E5zx3etgPH,0,3,3,3,3,3,3,3,3,2, ,4,3,3,3,3,4,3,3,2015
R_oYVF3thLKyXsX7j,0,4,4,3,1,4,4,2,4,3,1,4,1,2,2,2,1,2,2,2015
R_bpSSWyyj1npb2tv,0,3,3,1,1,1,3,1,3,4,1,4,1,1,2,3,3,2,2,2015
R_8B5L20x7HSg35s1,0,4,2,3,1,2,4,1,3,3,1,4,1,2, ,4,3,3,1,2015
R_11Zx8cXDeyiF6J3,0,4,2,2,2,3,3,1,3,3,2,4,2,2,3,2,3,3,2,2015
R_6r3qLpZBdv1mC5T,0,1,4,1,4,2,3,2,2,1,1,2,3,1,1,3,1,1,4,2015
R_8rdd7VcRzAwnW1n,0,3,2,3,1,1,3,1,3,3,1,4,1,1,3,1,3,2,1,2015
R_3fo8K07aZdX4mvX,0,3,2,3,1,1,3,1,3,3,3,3,1,3,3,1,3,3,1,2015
R_1rPObwhpMWnalB0,0,3,2,2,1,3,3,2,4,2,2,3,1,3,2,1,4,3,2,2015
R_3rB6ppb6UpJhFLj,0,3,3,4,2,4,4,2,4,3,3,3,2,2,3,4,2,3,2,2015
R_sTNfHVOVnMf4TdL,0,3,2,3,2,2,2,1,3,2,1,4,2,2,3,2,2,4,1,2015
R_1Iz0aEenVCVrMB2,0,4,2,2,1,3,2,3,4,1,1,3,2,3,1,3,2,2,3,2015
R_RWzIFL37VS3xrjj,0,3,2,3,1,3,3,3,2,3,2,2,3,3,2,3,2,2,2,2015
R_1LuNNA3jBxrnGpy,0,4,4,3,1,4,4,1,1,2,1,4,3,4,3,3,4,2,3,2015
R_3JxCAn1o1VXyE1R,0,2,3,3,2,2,3,2,4,1,1,4,4,4,2,4,3,2,1,2015
R_3MiB8V4y14Kl6l8,0,3,2,2,2,2,3,1,3,2,2, ,1,2,1,2,1,1,1,2015
R_rkgluxeer2UyCbf,0,4,4,2,2,2,3,3,3,3,2,2,2,3,3,2,2,3,3,2015
R_PG2g0safXUdNEgV,0,3,4,1,2,2,2,3,3,3,2,3,3,4,3,2,2,2,2,2015
R_3EiITEA1I04Xqjz,0,3,2,3,2,4,3,1,3,3,1,4,1,1,3,1,2,3,2,2015
R_2g9rXpyuuKXmolb,0,2,3,1,2,4,1,2,3,4,1,4,1,1,1,4,4,2,4,2015
R_1GUhH1oGRqNst2e,0,4,4,4,1,4,2,1,4,3,1,4,2,4,4,1,4,4,1,2015
R_2SdmhbkKd9gHwuC,0,2,3,1,2,4,3,2,4,2,1,3,1,2,3,2,2,3,3,2015
R_1ds1yyWDPt8TeEg,0,3,1,4,1,3,4,2,4,2,1,3,2,1,2,2,4,3,1,2015
R_1KvGvedcvxBf7YP,0,4,3,2,1,3,3,1,4,2,4,3,2,2,2,3,3,4,2,2015
R_w5KeiLU8f4zmncZ,0,2,2,2,3,1,2,2,3,2,3,2,1,2,1,2,3,2,1,2015
R_cOzoQOHFkPQIrR3,0,3,1,2,2,2,3,2,3,2,2,2,2,1,1,2,1,2,1,2015
R_4T7CrVIzMM9AX5P,0,3,2,3,2,3,3,1,3,3,1,3,2,2,2,1,2,3,1,2015
R_Q3z3AltcvwJipAB,0,3,4,3,2,3,3,2,3,3,2,3,2,4,3,1,2,3,2,2015
R_2YEVslk3zef8fpE,0,4,2,3,1,2,4,1,2,3,1,4,1,2,2,1,1,3,1,2015
R_33gaJhSCznAb0Zs,0,1,4,4,1,1,2,1,3,2,1,2,2,3,2,2,3,3,1,2015
R_1Q4lEjHXkzjRG3I,0,3,2,3,1,1,3,1,3,3,3,4, ,1,2,1,3,3,1,2015
R_2PbwKeh18FHm5pU,0,3,2,2,3,3,3,1,4,3,2,3,2,2,4,2,3,4,3,2015
R_1iagZG0c721CC2K,0,4,4,4,1,4,4,1,4,4,1,4,1,4,4,1,4,4,2,2015
R_6hPG2U0vVfqJcRz,0,3,2,3,2,2,4,2,3,3,3,4,3,3,4,2,3,3,2,2015
R_1BOZoewGniKCkgV,0,4,2,4,1,2,3,1,3,3,1,4,1,2,3,1,3,3,1,2015
R_31Hm5lj5tZ1ytSr,0,3,3,3,2,2,3,4,3,3,3,3,2,2,2,4,4,3,3,2015
R_2QX9XKMLGE5Xr8V,0,4,2,4,2,3,4,1,4,4,1,3,2,2,3,2,2,3,1,2015
R_2f2tIBTVYjEHj7O,0,4,2,3,1,4,3,1,3,3,1,4,1,2,4,2,2,4,3,2015
R_bjb2CJYlpDUzLKt,0,3,2,2,1,3,3,1,2,3,1,3,1,2,2,1,2,3,2,2015
R_1lAkvpeeRBKAWYs,0,3,2,4,3,2,3,2,3,2, ,1,1,1,4,4,2,3,2,2015
R_3njXhCvc55WgXph,0,4,2,4,4,4,4,1,4,4,1,4,1,1,4,1,4,4,1,2015
R_eldQSaZNk3llghv,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2015
R_3pb7DJFlIdn0Xzt,0,4,2,4,1,3,2,1,4,1,2,4,2,1,4,2,4,4,3,2015
R_3qIrZ0K3xBZze8C,0,4,3,3,1,3,3,1,3,3,1,4,2,3,2,1,2,3,2,2015
R_2fdDGL9eyWPqiJd,0,4,3,3,1,2,4,1,4,2,1,4,1,2,1,1,1,3,2,2015
R_22s4gcx8jAuJyvW,0,3,1,4,1,4,4,1,3,3,1,4,2,1,2,3,3,3,1,2015
R_3CT3bKT54hiL7OM,0,3,1,1,2,1,1,2,4,2,1,3,3,1,1,4,3,1,4,2015
R_1f0LYcaynXKOdiU,0,4,2,2,1,4,4,3,3,2,2,4,2,1,1,2,3,2,1,2015
R_3HvHCd84GXPXDJY,0,2,1,4,4,2,3,2,4,3,1,3,1,3,1,3,3,2,1,2015
R_2YtA5pQ2fzVEJS9,0,4,3,1,2,3,3,1,3,3,2,3,2,3,2,3,3,3,3,2015
R_WcD2SaUxqpBM46d,0,4,1,3,1,4,4,1,3,3,1,4,1,1,3,3,3,4,1,2015
R_217M4dQr1J5oVn0,0,4,2,4,1,3,3,3,2,3,3,3,3,2,4,3,3,3,3,2015
R_1laZ9QO2JcRd79j,0,3,2,2,1,1,3,1,3,4,1,4,1,2,4,1,3,3,2,2015
R_31SnjQx5mLoomwS,0,3,2,3,1,3,3,1,3,3,1,3,1,1,3,2,4,3,1,2015
R_3irLrlhSO5prmt6,0,3,3,4,3,2,2,2,3,2,2,3,3,3,4,1,4,4,1,2015
R_1CEnVTIUQRoGVHe,0,2,3,2,4,1,2,3,3,3,2,4,1,2,1,4,1,1,3,2015
R_SHvHLEpdbeKyVFv,0,3,2,3,1,2,3,1,3,3,1,4,2,2,3,2,2,3,1,2015
R_3O0LUYZswBg7rLn,0,4,3,2,3,3,3,3,2,3,2,4,2,3,2,3,3,3,4,2015
R_21iwSVKJa85dKVH,0,3,4,2,3,3,2,2,3,4,3,2,2,3,3,3,4,2,3,2015
R_PZmWujJxcLvjkch,0,3,2,3,1,3,3,1,3,3,2,3,1,1,3,4,3,3,1,2015
R_2QnvMU1sRWduKj4,0,4,3,4,1,3,4,1,4,4,1,4,1,1,1,1,3,4,1,2015
R_2uJp9e8AjbpS1Oo,0,4,3,3,2,2,3,1,3,3,1,4,1,2,3,1,3,4,1,2015
R_12xWGHDqqPE72Ji,0,3,2,2,2,3,3,1,4,3,1,4,2,2,2,2,3,2,1,2015
R_rruNc1bvmXY6F1L,0,4,4,2, ,4,4,1,3,4,1,4,1,3,2,1,3,2,4,2015
R_1mztdtFMEhsherH,0,3,3,3,2,3,3,1,3,3,1,3,1,1,3,3,3,3,3,2015
R_2VyHY9jhHrTisbH,0,3,2,1,2,2,1,2,3,2,3,4,3,1,1,4,2,2,3,2015
R_2CZF9J021UwHgvp,0,3,3,3,3,2,2,3,2,3,2,2,2,3,3,2,2,3,3,2015
R_1gGTcLJ8GshShPv,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2015
R_3Pv2l3D82hyfZxr,0,4,1,3,2,2,3,1,3,3,1,4,2,2,2,1,3,4,1,2015
R_3oF3NVhzbZTXHIT,0,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2015
R_3nvMJkGzsCcMCkx,0,3,2,2,1,2,3,1,2,3,1,1,2,2, ,3,2,3,2,2015
R_1H0oCz19uQKWEYr,0,4,3,4,3,3,3,1,3,3,3,3,1,3,3,3,1,2,1,2015
R_3NCY5hLuZjptzDI,0,3,3,3,4,4,4,4,3,3,3,3,4,4,3,3,4,3,3,2015
R_3KZMD4g3bVhz3IM,0,3,3,2,4,2,3,4,1,2,1,2,2,2,1,3,4,2,1,2015
R_2uqsBjFEtLarVtk,0,3,2,3,1,2,3,1,3,3,1,4,2,3,2,2,3,3,1,2015
R_sh4rW5ctOsgwtCp,0,3,2,3,2,2,3,2,3,3,1,3,1,2,2,1,2,3,2,2015
R_1gOTtG3M3ceJYtt,0,3,2,1,2,3,2,2,3,1,2,2,3,2,1,2,1,1,2,2015
R_D0kGS7AMkbExEqZ,0,3,3,1,2,3,1,2,2,2,4,3,3,1,1,4,1,3,4,2015
R_3NUGhGe7QXva7Fh,0,3,3,2,2,3,3,2,3,3,3,4,3,2,3,2,2,2,2,2015
R_2b1AL0mGURscPE9,0,4,1,4,1,1,4,1,4,3,1,4,1,3,4,2,3,4,1,2015
R_1Ouz7rsgGeGtt0N,0,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,2,2015
R_3HohAqMc63f76gb,0,4,3,3,2,3,3,1,2,3,2,3,2,2,3,2,3,3,1,2015
R_3L7H41Z4ImIJ7KZ,0,4,4,3,2,4,4,2,4,4,1,4,1,3,4,2,4,4,1,2015
R_2aqwU4u5qLrJl9z,0,4,1,1,2,4,3,2,2,3,1,4,1,1,1,4,4,2,2,2015
R_1g1QXAGA6rfWOzU,0,3,2,3,1,4,4,1,2,4,1,4,1,1,2,1,3,3,1,2015
R_4IrP7Fi9bAU1nvL,0,4,2,2,1,3,3,2,4,2,1,4,3,2,3,4,4,3,3,2015
R_sFqUw2ZJZS46FPP,0,3,3,3,4,4,2,2,3,3,4,3,2,4,4,4,2,4,1,2015
R_1CfjahSeMZBCiWV,0,2,3,1,4,2,3,4,2,3,2,2,3,3,2,3,3,2,3,2015
R_vOVbXUnPYaryAs9,0,3,2,3,2,2,2,3,3,3,3,2,4,2,3,2,3,3,3,2015
R_1ISPIdxj0onkn6m,0,3,3,1,2,2,1,3,2,3,4,2,3,2,1,2,2,1,2,2015
R_eqyJzY9wP6vIke1,0,4,1,4,1,4,4,1,4,3,3,4,1,1,4,1,4,4,1,2015
R_4Yp1IClhOyjgti1,0,1,3,1,2,2,3,2,3,3,3,2,1,2,1,1,2,2,4,2015
R_2AXcHm2i8gC6LFi,0,3,2,3,1,1,3,2,4,3,1,4,2,3,1,2,2,3,2,2015
R_6VBNnQ3HbafGVjD,0,4,1,4,1,2,3,1,4,4,1,4,1,1,3,2,3,4,1,2015
R_290rUAXOSFZKe3x,0,3,2,3,2,3,2,2,3,3,2,2,3,3,3,2,3,2,2,2015
R_ukNEltLwFCydKud,0,3,2,1,2,3,2,3,3,2,3,2,3,3,2,4,3,1,1,2015
R_2CmoNTdo0bJ0NQw,0,4,2,3,1,2,3,1,4,3,1,4,1,2,2,2,3, ,1,2015
R_26eXdgGzwVKHRAS,0,4,4,4,4,4,4,2,2,2,2,2,2,3,3,3,4,4,4,2015
R_1dc6JZL8uoLA9QO,0,4,1,4,1,4,4,1,4,4,1,4,1,2,2,1,1,4,1,2015
R_1gkGTOQQoAVdWMU,0,3, ,2,1,4,4,2,4,2,1,4,2,2,2,1,4,2,2,2015
R_3lRdOWicoNTK6vU,0,3,1,2,2,2,2,2,3,2,1,3,2,1,1,4,4,2,2,2015
R_1d6OWy2Ji74ziDr,0,4,3,3,2,3,2,1,2,2,1,4,1,2,1,1,1,1,1,2015
R_3nAcJLvQiP7UKHY,0,3,2,2,2,3,2,1,3,3,1,4,2,2,3,1,3,2,2,2015
R_2BaIHVxOyl3lhCs,0,3,1,1,2,4,3,2,3,2, ,3,1,1,1,3,3,2,3,2015
R_2trtViuiLxv5qnL,0,4,2,1,2,3,4,1,3,2,1,4,1,4,4,4,1,4,4,2015
R_RrilUE5pyy8V6zT,0,3,3,3,1,1,3,3,3,3,1,3,1,3,2,2,3,4,2,2015
R_22ldMwEmiRdHFvr,0,3,4,2,2,4,4,4,1,2,1,4,4,4,3,4,2,2,3,2015
R_2PCmWuJM9bGF4GS,0,4,1,4,1,3,4,1,4,4,3,2,3,3,3,1,3,2,1,2015
R_2Y5rIIlKY1S1GHu,0,3,2,1,2,2,3,1,2,4,2,3,1,3,2,4,3,2,3,2015
R_3norEZuPqOtZUNP,0,3,3,3,3,2,3, , ,3,3, ,2,3,2,4, ,1,3,2015
R_3j04R1DYNgngOY1,0,4,3,3,1,4,3,1,3,3,1,4,1,2,2,1,2,4,1,2015
R_2vYaulFOFFWiORT,0,3,1,4,1,1,4,1,3,2,1,3,1,1,2,1,2,2,1,2015
R_1MREtMMhxrXXXXj,0,3,1,2,2,3,3,2,4,2,1,3,2,1,2,3,4,2,2,2015
R_12DVt7fEa29cLrK,0,4,2,4,1,2,4,2,3,2,1,4,1,1,2,1,3,3,1,2015
R_1iezpGNJQaQ2l0U,0,2,2,2,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,2015
R_2ONL5ReZYWXkPk8,0,3,3,1,2,3,3,3,3,3,2,2,3,1,2,3,1,2,4,2015
R_2WPbd3TlsQoy5Bn,0,4,3,3,2,3,2,1,3,3,1,4,4,4,4,3,4,4,3,2015
R_3qyvEa8sFK2hbGp,0,4,3,2,1,3,3,2,2,2,2,4,1,2,1,1,1,3,1,2015
R_1DwlwfcOQTeVuUM,0,4,4,3,1,3,3,1,4,2,1,4,1,2,2,2,2,2,2,2015
R_2VvYJKSrxLlxJ9s,0,4,4,1,2,4,4,2,2,3,1,3,1,1,1,1,1,1,3,2015
R_1LwjxbTD7ibFAuA,0,2,3,1,1,4,3,4,2,4,3,2,3,2,3,2,2,3,4,2015
R_3oXTSbk8LJBp8Mx,0,1,4,2,2,1,3,3,3,2,1,3,2,4,2,2,2,3,2,2015
R_2D6znes8VdlcKQJ,0,3,2,3,3,2,3,2,2,3,3,2,3,3,3,3,2,3,2,2015
R_eE4Qfe0JAbqbQBn,0,4,2,3,2,3,3,1,3,3,1,4,2,2,3,1,3,3,1,2015
R_31ykK3y4il9itW0,0,4,2,4,1,4,4,4,4,3,2,3,3,3,3,3,3,3,3,2015
R_0ApFjLski3fg7LT,0,3,1,3,2,4,3,1,4,3,1,4,1,1,4,1,4,4,2,2015
R_Uu6LNd2e1B9V2QV,0,3,2,1,1,1,3,2,3,3,1,4,1,2,2,1,2,3,3,2015
R_3RapRPWX4S2VlAi,0,2,2,2,2,4,3,4,3,3,3,3,2,1,1,4,4,3,4,2015
R_4UEdpdjiuB4tJyt,0,3,2,2,3,3,2,2,2,2,2,3,4,3,1,2,2,2,2,2015
R_2h65QBFTyZ8UqvX,0,3,2,2,1,2,2,1,3,3,3,4,2,3,3,3,3,3,2,2015
R_0vqBJIEgHhQEaix,0,3,2,2,2,1,2,2,3,3,1,3,3,2,1,3,2,2,1,2015
R_6G3CYGnYuTJRotj,0,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,3,3,4,2015
R_1odva2B4akJZAnA,0,2,3,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2015
R_12D1hsz7ViWalwx,0,3,4,1,2,2,1,1,4,1,1,3,2,4,1,4,1,3,4,2015
R_6FsdjaGZYJRhFJf,0,3,4,2,1,4,3,1,2,3,2,4,2,4,2,1,2,2,1,2015
R_cDdc2R8TYnA27m1,0,3,1,2,2,2,2,1,3,3,1,1,2,1,2,2,1,3,1,2015
R_UROtOelIe1I9cSB,0,4,2,3,3,2,3,2,3,2,2,2,3,2,2,3,3,3,3,2015
R_3pbYiBpwBFLFTNM,0,3,3,4,1,3,3,1,4,3,1,3,2,1,3,1,3,4,1,2015
R_OIPQzv5XLgUhK5r,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2015
R_2BfUqloNggR5qBE,0,4,2,3,2,4,3,2,3,4,2,4,2,2,3,1,2,3,4,2015
R_1o0eqNrdLBohRqb,0,4,3,4,1,2,3,3,3,4,2,3,2,3,2,3,2,2,1,2015
R_265UAKyJlMlT9vU,0,3,4,2,3,2,3,2,3,2,1,3,1,3,2,2,2,2,1,2015
R_2aglPU9GdLNjnwx,0,4,2,4,2,4,3,1,4,3,1,4,1,1,2,2,2,4,2,2015
R_5mTakdXMOmpqRAV,0,4,4,4,4,1,4,1,3,4,1,4,1,4,4,1,1,4,1,2015
R_2P1qjHsJe8qXEqv,0,2,3,2,2,1,2,1,1,2,2,3,3,2,2,1,2,2,2,2015
R_57rJWZidT8HDZn7,0,3,2,2,3,3,2,2,3,2,2,3,2,3,3,3,2,2,2,2015
R_1N32gVF9A8QHHgF,0,3,2,2,1,1,2,3,3,3,1,3,2,1,1,3,1,2,1,2015
R_Ow1q6rQT4iZ0uE9,0,3,3,3,1,1,3,1,2,3,1,3,1,3,1,1,3,3,2,2015
R_2rC9dARNKb7UtZo,0,3,1,1,2,3,3,2,4,3,1,3,2,3,2,4,3,3,3,2015
R_3QWDAdQeFjVPwsx,0,3,4,2,1,3,3,1,2,3,1,4,4,3,1,1,2,2,1,2015
R_6rN8orr9gCK19iF,0,3,2,3,1,2,3,1,3,3,1,3,2,1,3,1,3,3,2,2015
R_6lNq9UNfCafoX9X,0,3,2,3,1,2,3,1,3,2,1,3,1,2,3,1,3,2,1,2015
R_6fXGFfsnM0Bpf45,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2015
R_1q9ihzU0y8Fr6yK,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2015
R_8w6Pv8uIXlRaTGp,0,3,2,2,3,3,3,2,2,2,2,3,2,1,2,3,3,2,2,2015
R_XM6OSiIkIVIfYtz,0,4,3,3,1,2,3,1,4,2,2,3,2,3,3,2,2,3,2,2015
R_25uZx0BoUGi9kEa,0,3,2,2,1,2,4,2,3,3,2,4,2,2,2,2,3,3,2,2015
R_3MKBBFewI0Q624d,0,2,3,2,2,2,2,3,4,2,2,3,3,3,2,2, ,4,4,2015
R_3p0aEeYsPPm70fJ,0,3,3,2,2,3,3,2,3,2,1,3,2,3,4,4,2,2,1,2015
R_2xPJyN4Qhqj0gM5,0,4,3,4,2,3,3,1,3,3,1,3,1,2,3,1,4,4,1,2015
R_3DorKUmGbKp4XRB,0,3,2,2,1,4,2,2,3,3,1,4,1,3,3,1,2,2,1,2015
R_9AgfaL1HctlNGgl,0,3,1,2,2,3,3,3,3,2,1,3,3,2,2,4,3,2,3,2015
R_1QnhjEr4RQ4BN1q,0,4,2,4,1,2,4,1,4,3,1,4,2,1,2,1,3,3,1,2015
R_1E0zm4PLKxfSdE9,0,4,4,2,2,3,3,4,3,2,3,3,2,3,3,3,3,2,3,2015
R_1jHx7YnL4eCjaMg,0,3,2,2,2,3,3,1,4,3,1,4,1,2,2,3,3,1,1,2015
R_25u9RD95nOTg7FY,0,4,2,1,1,2,3,1,2,3,1,4,2,2,1,1,2,2,3,2015
R_6Qio5vo00hb9e3b,0,4,1,4,2,4,3,1,4,2,1,4,2,2,3,2,3,4,1,2015
R_RkuqzL35gMiDse5,0,4,2,3,1,2,2,2,2,2,2,4,1,4,4,1,4,4,1,2015
R_1jUq2cp9ZvBmaAV,0,1,3,1,4,3,1,2,3,2,1,3,4,1,1,3,1,1,3,2015
R_3jS0lQmTBcQMNDb,0,4,2,3,2,3,3,1,3,2,1,3,1,1,3,1,3,2,1,2015
R_5jcQBWj81dYHHLL,0,4,4,4,4,4,4,1,4,2,4,4,4,4,4,4,4,4,4,2015
R_eb2PxNF4qSd5pXL,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2015
R_1KOI4XFmk7R5Nhr,0,4,3,3,1,3,3,1,3,3,1,4,1,2,3,1,2,3,1,2015
R_2wvpDL13OoY5Qcw,0,4,4,4,1,4,4,1,4,4,1,4,1,4,1,1,4,4,1,2015
R_dcKbRQxvkFUAA85,0,4,3,3,1,3,3,1,3,3,1,4,1,3,3,2,2,3,1,2015
R_25EnfE0TnEOXtOC,0,3,3,2,4,1,2,4,3,2,4,1,4,4,1,4,1,1,3,2015
R_emkLR6qLVErs4j7,0,3,4,2,2,3,3,1,1,1,1,3,2,3,2,1,2,2,2,2015
R_1mx6tHqIEy2ZXta,0,3,3,2,2,4,3,2,2,3,2,4,3,2,2,2,1,2,2,2015
R_3qXcTX3NUOKQhCt,0,3,3,2,2,3,3,2,3,3,1,3,2,2,2,2,2,3,2,2015
R_24tLjEpqDKw7xfD,0,4,1,3,1,3,4,1,4,2,1,4,1,2,4,2,1,4,3,2015
R_2akmmsy3RSrzY8G,0,3,3,3,1,2,3,1,3,3,1,2,1,2,2,3,2,2,2,2015
R_3xVq3bHV4zx4Pml,0,3,1,3,1,3,3,1,4,4,1,4,1,2,4,1,1,3,1,2015
R_dfXMqpRk809rdGF,0,4,2,4,4,2,2,2,3,2,1,4,1,2,2,4,4,3,1,2015
R_pc6GM7GUXWarG9z,0,3,2,2,1,1,3,1,3,2,1,3,1,2,2,1,2,3,1,2015
R_1gI45QeyF30n342,0,4,1,2,1,4,1,3,4,2,2,3,4,2,1,4,2,1,1,2015
R_12FoVqQ4ZtE1Q3F,0,4,3,1,1,2,3,1,3,3,1,4,2,1,1,1,3,2,2,2015
R_afPjSWPA9KbPRMR,0,3,2,3,2,3,3,3,2,3,3,3,2,2,2,3,2,3,3,2015
R_31vDLqAySNwEVs7,0,3,2,3,2,2,3,2,3,2,1,3,3,2,2,3,3,3,1,2015
R_eG7amGMgmPU7q1T,0,4,1,3,1,3,3,1,4,3,1,4,1,2,3,3,3,3,1,2015
R_b8UvsyjITyuJMLH,0,4,2,4,1,3,3,1,3,3,3,3,1,1,3,1,3,4,2,2015
R_3Q2RcImWvy5tqRv,0,4,1,2,3,2,3,2,3,1,3,3,3,2,3,3,2,3,3,2015
R_9TTDrXiUPqyeho1,0,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2015
R_2TZvPASaWhZMb2V,0,4,1,4,2,4,4,1,3,4,1,4,1,1,3,2,3,4,1,2015
R_8kPTEekkM7gWEdL,0,3,2,2,1,2,2,1,2,3,2,3,2,2,2,2,2,3,2,2015
R_9Sr7QeKNZftUvAx,0, , , , , , , , , , , , , , , , , , ,2015
R_3DtjdjLQpAwf7SW,0,3,3,3,1,2,2,1,3,3,1,3,1,2,3,2,3,3,1,2015
R_2dZ2868zg74wztv,0,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2015
R_6o5uCN9WHcZ1EeV,0,3,3,3,3,4,3,1,4,4,1,4,3,3,2,3,2,3,2,2015
R_3DtNW4tHdKYRpyr,0,4,4,3,2,4,4,2,2,3,1,4,3,3,2,1,1,2,1,2015
R_2zSbPP9ElWMZRPG,0,1,1,4,1,4,4,2,3,4,1,3,2,2,2,2,3,3,1,2015
R_Pzbu499mxnQ9NWp,0,3,2,3,2,1,2,1,3,3,1,4,2,2,3,1,3,3,1,2015
R_agfFPdRQuEtMI7j,0,4,2,2,1,4,2,2,2,2,2,4,1,3,1,4,1,1,1,2015
R_20U06Kr4HIPH9Sw,0,4,2,4,3,1,4,1,2,2,1,4,2, ,3,1,2,4,3,2015
R_TjYK0K13D4TSkil,0, , , , , , , , , , , , , , , , , , ,2015
R_erg1ox0FPBy5vBT,0,4,3,2,2,3,3,2,3,3,3,4,2,2,2,2,2,3,1,2015
R_1oAs3ObIDCfMNrC,0,4,3,4,2,3,4,1,3,3,1,3,1,3,3,1,3,3,1,2015
R_2tGnSQyqQmveNhV,0,4,3,3,1,4,4,1,4,3,1,4,1,2,3,1,2,4,1,2015
R_9mC7AcgumGU0qcR,0,3,2,2,3,3,2,3,4,3,1,3,2,3,1,2,3,3,2,2015
R_enGgTqpKxZ48z4x,0, , , , , , , , , , , , , , , , , , ,2015
R_vMEM3uzV7nUxw7T,0,4,1,2,1,2,3,1,2,2,1,4,1,1,3,1,3,3,1,2015
R_DS0kVvCuLfxy2CB,0,4,2,3,1,4,3,1,3,3,1,4,1,2,3,1,3,2,1,2015
R_54hud15OPK22e45,0,1,1,3,3,2,2,3,3,2,3,1,2,1,3,4,3,2,3,2015
R_1hFubewDR0QiDgW,0,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2015
R_1KeZCwrokoiXVzc,0,3,4,3,2,2,1,1,3,3,2,4,2,4,2,2,1,3,2,2015
R_1FaGRJtXLiEjXqm,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2015
R_e9xvx3r6H5b6Fx3,0,4,3,3,1,2,3,1,3,1,1,4,1,2,3,1,3,4,1,2015
R_u9OvAykcxRptf33,0,4,3,2,1,4,3,1,1,2,1,4,1,2,4,2,1,2,4,2015
R_3PRLw6LHDB5PqXQ,0,4,3,4,1,4,4,1,4,4,1,4,1,4,4,1,4,4,1,2015
R_3PofSzdpezmRcrb,0,3,3,3,2,2,2,1,2,3,3,4,2,3,2,1,2,2,1,2015
R_1d13Lp4hHvNHtpN,0,3,4,3,1,2,3,1,2,3,1,4,1,2,3,2,3,4,1,2015
R_2ql8P5CS5CYlusR,0,3,1,3,2,1,4,2,3,1,1,4,2,2,2,1,3,3,1,2015
R_2c5R41aSC0v3h4u,0,4,2,3,2,3,3,3,4,3, ,1,2,1,2,1,1,3,2,2015
R_25yHYShveGADL8t,0,3,2,1,1,3,3,1,2,4,3,3,2,2,3,3,2,3,1,2015
R_O1ATE2bY1NcwvAJ,0,4,2,4,2,2,2,1,2,3,1,4,1,1,2,1,3,3,1,2015
R_2TFecQOSqwVHWo0,0, , , , , , , , , , , , , , , , , , ,2015
R_899mp9x0LgwEN49,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2015
